,Question,Model,Model_Version,Rag_Enabled,Prompt,Response,Correctness,Impact,Likelihood,Risk_Score,Timestamp,Notes,Answer
1,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?",,,,,,,,,,,,"Yes, ACM supports exporting public certificates only if they are requested as exportable certificates. Otherwise, ACM certificates can only be used with integrated AWS services. Alternatives include requesting a new exportable certificate, importing a third-party certificate into ACM, or obtaining a certificate from another certificate authority. https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/#:~:text=If%20you%20select%20Disable%20export,each%20to%20a%20separate%20file."
2,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),,,,,,,,,,,,"The maximum validity period for public certificates issued by AWS Certificate Manager (ACM) is:

198 days.

This change was announced on February 18, 2026 to comply with the CA/Browser Forum requirement that public TLS certificates must be no longer than 200 days starting March 15, 2026.

Important context

Before this change: ACM certificates were valid for 395 days.

Now: The maximum validity period is 198 days.

https://aws.amazon.com/about-aws/whats-new/2026/02/aws-certificate-manager-updates-default/"
3,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?",,,,,,,,,,,,"Yes, Amazon EC2 supports nested virtualization on virtualized EC2 instances. The feature is currently available on the C8i, M8i, and R8i instance families. - https://aws.amazon.com/about-aws/whats-new/2026/02/amazon-ec2-nested-virtualization-on-virtual/"
4,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?",,,,,,,,,,,,"AWS Backup supports cross-Region protection by allowing database snapshots to be copied into logically air-gapped vaults, which provide isolated and secure backup storage. Before 2026, this required a two-step process—first copying the snapshot to a backup vault in the target Region and then copying it again to the air-gapped vault. In 2026, AWS introduced a single-action copy feature, allowing snapshots to be copied directly across Regions to logically air-gapped vaults, simplifying the workflow. - https://aws.amazon.com/about-aws/whats-new/2026/02/aws-backup-adds-cross-region-database-snapshot-logically-air-gapped-vaults/"
5,"Does Amazon Bedrock support structured outputs for foundation models, and how can developers enforce a specific response format?",,,,,,,,,,,,"Yes, Amazon Bedrock supports structured outputs for foundation models. Developers can enforce a specific response format by defining a JSON Schema output format, which constrains the model to generate schema-compliant JSON responses, or by enabling strict tool use (strict: true) to ensure that tool inputs exactly match the defined schema during agentic workflows. - https://aws.amazon.com/blogs/machine-learning/structured-outputs-on-amazon-bedrock-schema-compliant-ai-responses/"
6,"When restoring a database snapshot in Amazon RDS or Aurora, can you now modify the backup retention period and preferred backup window during the restore process?",,,,,,,,,,,,"Yes. When restoring a database snapshot in Amazon RDS or Amazon Aurora, you can now view and modify the backup retention period and preferred backup window during the restore process, rather than having to change these settings after the restore is completed. - https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/"
7,"Does AWS IAM Identity Center support multi-Region replication, and what must be configured before replication can be enabled in an additional Region?",,,,,,,,,,,,"Yes, AWS IAM Identity Center supports multi-Region replication, allowing workforce identities and permission sets to be replicated from a primary Region to additional Regions. Before enabling replication, you must configure and replicate a customer-managed multi-Region AWS KMS key to the target Region and grant it the permissions required for IAM Identity Center operations. - https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/"
8,"Which Java runtimes are supported by AWS Lambda, and which one is the latest?",,,,,,,,,,,,"AWS Lambda currently supports the following managed Java runtimes:

Java 25 — runtime identifier: java25

Java 21 — runtime identifier: java21

Java 17 — runtime identifier: java17

Java 11 — runtime identifier: java11

Java 8 (Amazon Linux 2) — runtime identifier: java8.al2

These runtimes run on either Amazon Linux 2023 (newer runtimes) or Amazon Linux 2 (older runtimes).

Latest Java Runtime

The latest supported Java runtime in AWS Lambda is:

Java 25 (java25) running on Amazon Linux 2023.

Summary

Supported Java runtimes: Java 25, Java 21, Java 17, Java 11, and Java 8 (AL2)

Latest runtime: Java 25

Newer runtimes use Amazon Linux 2023 for improved security and long-term support. - https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html"
9,"What are partitioned CRLs in AWS Private Certificate Authority, and how do they improve scalability for certificate revocation?",,,,,,,,,,,,"Partitioned CRLs are smaller, distributed revocation lists used by AWS Private CA instead of one large CRL. They improve scalability by increasing revocation capacity from about 1 million to 100 million certificates per CA, while keeping each CRL partition small enough for broad application compatibility. - https://aws.amazon.com/blogs/security/aws-private-certificate-authority-now-supports-partitioned-crls/"
10,How many certificates per CA can AWS Private Certificate Authority support when using partitioned CRLs?,,,,,,,,,,,,AWS Private CA can support up to 100 million certificates per CA when using partitioned CRLs.
11,"What new capability allows Amazon CloudWatch to unify and manage log data across operational, security, and compliance use cases, and which open standards does it support for log normalization?",,,,,,,,,,,,"Amazon CloudWatch introduced a unified data management and analytics capability for logs, enabling centralized ingestion, normalization, and analysis of log data across operational, security, and compliance use cases. It supports the open standards Open Cybersecurity Schema Framework (OCSF) and OpenTelemetry (OTel) for log normalization. - https://aws.amazon.com/blogs/aws/amazon-cloudwatch-introduces-unified-data-management-and-analytics-for-operations-security-and-compliance/"
12,What optimization actions can AWS Compute Optimizer automatically perform on Amazon EBS volumes using automation rules?,,,,,,,,,,,,AWS Compute Optimizer automation rules can automatically snapshot and delete unattached EBS volumes and upgrade older EBS volume types (gp2 to gp3 and io1 to io2) based on its optimization recommendations. - https://aws.amazon.com/blogs/aws-cloud-financial-management/introducing-automated-amazon-ebs-volume-optimization-in-aws-compute-optimizer/
