question_id,question,model,model_version,rag_enabled,prompt,response,timestamp_utc,correctness,impact,likelihood,risk_score,notes
1,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?",ChatGPT,gpt-4o-mini,False,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?","No, public certificates issued by AWS Certificate Manager (ACM) cannot be exported for use outside AWS services. They are designed to be used exclusively within the AWS ecosystem for services like Elastic Load Balancing, Amazon CloudFront, and API Gateway.

### Alternatives:
1. **Use a Third-Party Certificate Authority**: Obtain a certificate from a third-party CA and import it into ACM, which can then be used with AWS services. You can also export and use it outside AWS.

2. **Use AWS Private CA**: If you need internal certificates, consider using AWS Private Certificate Authority, which allows you to create and manage custom private certificates that can be exported.

3. **Self-Signed Certificates**: For development and testing environments, you can create self-signed certificates which you can freely use and export.

4. **Custom Deployment Solutions**: Depending on your infrastructure, you might consider deploying your own certificate management solution (like using tools such as Certbot with Let’s Encrypt).

These alternatives allow more flexibility if you require certificates that are not confined to AWS services.",2026-03-16T19:29:02.501901+00:00,Incorrect,2.0,3.0,6.0,"The model response incorrectly states that public certificates from ACM cannot be exported, whereas they can be exported if requested as exportable. It misses the key requirement regarding the exportable option and provides inaccurate alternatives."
1,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?",Claude,claude-haiku-4-5,False,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?","# AWS Certificate Manager - Export Limitations

**Direct Answer: No**, public certificates issued by ACM cannot be exported. This is a fundamental design constraint.

## Why Not?

ACM manages the private key on your behalf in AWS-controlled hardware security modules (HSMs). AWS deliberately doesn't provide access to these private keys for security reasons—you cannot export them.

## Alternatives for Using Certificates Outside AWS

### 1. **Request a Public Certificate from a CA Directly**
- Issue certificates directly from Certificate Authorities (DigiCert, Sectigo, etc.)
- Import them into ACM if needed for AWS services
- Use them wherever you want outside AWS
- **Downside**: Manual renewal management, costs per certificate

### 2. **Use Private Certificates (ACM Private CA)**
- Issue private certificates from your own certificate authority
- You control the private key
- Can export and use outside AWS
- Good for internal services and hybrid setups
- **Trade-off**: You manage the CA infrastructure

### 3. **Use Let's Encrypt with Automation**
- Free certificates via ACME protocol
- Tools like Certbot automate renewal
- Portable across platforms
- **Best for**: Non-AWS services needing free, portable certs

### 4. **Hybrid Approach**
- Use ACM public certs for AWS services (ALB, CloudFront, API Gateway)
- Use separately-issued certs for on-premises or third-party services
- Keep them in sync via automation if needed

## Bottom Line

If you need certificates that are portable outside AWS, **don't use ACM's public certificates**. Request them directly from a CA instead, or consider ACM Private CA if you have control over your CA infrastructure.",2026-03-16T19:29:08.131299+00:00,Incorrect,2.0,3.0,6.0,"The model response incorrectly states that public certificates issued by ACM cannot be exported, which contradicts the verified reference. Although it provides valid alternatives, it fails to acknowledge that exportable certificates can be requested. This omission is key to answering the question correctly."
1,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?",Gemma,gemma-3-27b-it,False,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?","No, public certificates issued by AWS Certificate Manager (ACM) **cannot** be directly exported for use outside of AWS services. ACM certificates are designed to be used *with* AWS services like ELB, CloudFront, API Gateway, etc., and remain within the AWS ecosystem.

Alternatives for obtaining certificates usable outside of AWS include:

*   **Importing your own certificate:** You can import a certificate from a third-party Certificate Authority (CA) into ACM. While still managed by ACM, you *can* export the private key associated with imported certificates (though this is generally discouraged for security reasons).
*   **Using a third-party CA directly:** Obtain a certificate from a commercial CA like DigiCert, Let's Encrypt, Sectigo, etc. These certificates are yours to manage and export as needed.
*   **AWS Private CA:** If you need a private CA within AWS for internal use, AWS Private CA allows you to issue and manage your own private certificates, which *can* be exported.",2026-03-16T19:29:13.594808+00:00,Incorrect,2.0,2.0,4.0,The model response incorrectly states that public certificates cannot be exported without acknowledging that exportable certificates can be requested. It also misses the nuance regarding exportable certificates being an option.
2,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),ChatGPT,gpt-4o-mini,False,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),"The maximum validity period for public certificates issued from AWS Certificate Manager (ACM) is 13 months (397 days). AWS ACM follows the guidelines set by the Certificate Authority/Browser (CA/B) Forum, which limits the validity of publicly trusted SSL/TLS certificates.",2026-03-16T19:29:16.935886+00:00,Incorrect,2.0,3.0,6.0,"The model response states an outdated validity period of 397 days, while the maximum is now 198 days as per the verified reference."
2,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),Claude,claude-haiku-4-5,False,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),"# AWS Certificate Manager (ACM) - Maximum Validity Period

The maximum validity period for public certificates issued from AWS Certificate Manager is **13 months (approximately 397 days)**.

This is the standard across all major certificate authorities and aligns with industry regulations set by the CA/Browser Forum, which limits the validity period of SSL/TLS certificates to a maximum of 13 months.

## Important Note

- ACM automatically renews your certificates **before expiration** (typically 60 days before), so you don't need to manually manage renewal timelines
- This automatic renewal applies to both public and private certificates
- Certificates can be renewed as many times as needed without additional cost",2026-03-16T19:29:19.822800+00:00,Incorrect,2.0,2.0,4.0,"The model response states an outdated validity period of approximately 397 days, while the maximum validity period is now 198 days as per the verified reference."
2,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),Gemma,gemma-3-27b-it,False,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),"The maximum validity period for public certificates issued by AWS Certificate Manager (ACM) is **398 days**.

This is due to a requirement from Certificate Authorities (CAs) following industry best practices and guidelines to reduce the window of opportunity for misuse if a private key is compromised. ACM automatically renews your certificates to avoid expiration, leveraging this maximum validity period.",2026-03-16T19:29:23.025908+00:00,Incorrect,2.0,3.0,6.0,"The model response contains a factual error regarding the maximum validity period, stating 398 days instead of the correct 198 days."
3,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?",ChatGPT,gpt-4o-mini,False,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?","Yes, Amazon EC2 supports nested virtualization on certain virtualized EC2 instances. As of the latest information, the instance families that support nested virtualization include:

- **M5**
- **M5a**
- **M5n**
- **C5**
- **C5a**
- **C5n**
- **R5**
- **R5a**
- **R5n**
- **T2**
- **T3**
- **T3a**

Make sure to check the most current AWS documentation, as supported features can evolve.",2026-03-16T19:29:27.290672+00:00,Incorrect,2.0,2.0,4.0,"The model response lists outdated instance families. The current supported families are C8i, M8i, and R8i, which were not mentioned."
3,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?",Claude,claude-haiku-4-5,False,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?","# EC2 Nested Virtualization Support

**Short Answer:** Yes, EC2 supports nested virtualization, but **only on specific instance families**.

## Supported Instance Families

Currently, nested virtualization is supported on:

- **M5 instances** (and later generations like M6i, M7i)
- **M5zn instances**
- **C5 instances** (and later generations like C6i, C7i)
- **R5 instances** (and later generations like R6i, R7i)
- **z1d instances**
- **Newer generation instances** (generally 5th gen and later from each family)

## Key Considerations

1. **Must be enabled explicitly** - You need to set the `CpuOptions` when launching the instance, specifically enabling the nested virtualization CPU option

2. **Older generations don't support it** - Earlier instance families (M4, C4, R4, etc.) do not support nested virtualization

3. **Performance impact** - Expect performance overhead when running virtualized workloads on virtualized instances

4. **Use cases** - Primarily for development, testing, and running container orchestration platforms

## Verification

AWS documentation recommends checking the specific instance type details in the EC2 console or AWS documentation, as support may be added to additional instance families over time.

If you're planning to use this feature for a specific workload, I'd recommend testing with your target instance type first to confirm current support.",2026-03-16T19:29:32.800086+00:00,Incorrect,2.0,2.0,4.0,"The model response lists outdated instance families, as it mentions M5, C5, and R5 which do not include the latest supported families stated in the verified answer: C8i, M8i, and R8i. This is a factual error."
3,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?",Gemma,gemma-3-27b-it,False,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?","Yes, Amazon EC2 supports nested virtualization on certain virtualized EC2 instances.

Currently, the following instance families support nested virtualization:

*   **m5, m5a, m5d, m6i, m6a**
*   **c5, c5a, c5d, c6i, c6a**
*   **r5, r5a, r5d, r6i, r6a**
*   **x2idn, x2iedn** 

Specifically, you need instances with Intel VT-x or AMD-V virtualization extensions *exposed* to the instance. These families, with appropriate sizes, generally meet that requirement.

It's important to note:

*   Not *all* sizes within these families support nested virtualization. You need to check the AWS documentation for specific size details.
*   You must enable the `nested-virtualization` instance option when launching the instance.



You can find the most up-to-date information here: [https://aws.amazon.com/ec2/instance-types/nested-virtualization/](https://aws.amazon.com/ec2/instance-types/nested-virtualization/)",2026-03-16T19:29:39.123521+00:00,Incorrect,2.0,3.0,6.0,"The model response mentions instance families that do not match the current verified answer, which specifies C8i, M8i, and R8i. This discrepancy indicates a factual error and therefore makes the response incorrect."
4,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?",ChatGPT,gpt-4o-mini,False,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?","AWS Backup supports cross-Region snapshot copies by allowing users to create backup plans that include cross-Region copy rules. This enables you to automatically replicate backups to another AWS Region, enhancing disaster recovery and compliance strategies.

In 2026, AWS simplified this process by introducing the capability to create and manage backup vaults that are logically air-gapped from the source vaults. This change allows for the automated transfer of snapshots to these air-gapped vaults in different regions, ensuring data protection while minimizing the risk of unauthorized access or accidental deletion. 

The air-gap feature provides a level of isolation, making it easier to meet compliance requirements and safeguard data against threats, such as ransomware.",2026-03-16T19:29:42.278323+00:00,Incorrect,2.0,2.0,4.0,"The response does not mention the two-step process prior to 2026 and fails to explain the specific single-action copy feature introduced in 2026, which is critical to the question."
