question_id,question,model,model_version,rag_enabled,prompt,response,retrieved_sources,timestamp_utc,correctness,impact,likelihood,risk_score,notes
1,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?",ChatGPT,gpt-4o-mini,True,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?","Yes, public certificates issued by AWS Certificate Manager (ACM) can be exported for use outside AWS services. With the introduction of exportable public SSL/TLS certificates, you can obtain the private keys and use these certificates on workloads running on Amazon EC2 instances, containers, or even on-premises hosts. 

To export a public certificate, you need to request a new exportable public certificate by selecting the ""Enable export"" option in the ACM console during the certificate request process. Note that you cannot export previously created public certificates.

If you need alternatives, you could consider:

1. **Using Third-party Certificate Authorities (CAs):** You can import certificates issued by third-party CAs into ACM for use with AWS services, although these third-party certificates would also require management outside AWS if you need to use them elsewhere.

2. **Generating self-signed certificates:** For internal workloads or testing, you could generate self-signed certificates. However, these might not be suitable for production use due to trust issues with clients.

3. **Using Let's Encrypt:** This is a free, automated CA that issues public certificates, which can be used outside of AWS. You would have to manage the issuance and renewal process on your own.

As always, be mindful of the security practices surrounding private keys when exporting and using certificates outside of AWS.",https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/,2026-03-30T20:24:28.613895+00:00,Incorrect,,,,"The response contains outdated information regarding the export of public certificates, stating that previously created public certificates cannot be exported, whereas the verified reference mentions that exporting is only possible if they were requested as exportable. Additionally, it lacks clarity on the requirement to specify exportable during the request process."
1,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?",Claude,claude-haiku-4-5,True,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?","# ACM Public Certificate Export Capability

**Yes, public certificates issued by AWS Certificate Manager can be exported for use outside AWS services.**

## Export Details

According to the documentation:

- **What can be exported**: Public SSL/TLS certificates issued by ACM, along with their private keys
- **Where they can be used**: EC2 instances, containers, on-premises hosts, and any workloads requiring SSL/TLS communication
- **Validity period**: 395 days
- **Issuing authority**: Amazon Trust Services (widely trusted by Apple, Microsoft, Chrome, Firefox, etc.)

## Important Constraints

- **Export must be enabled at certificate request time** - You cannot export previously created public certificates. You must explicitly select ""Enable export"" when requesting a new certificate.
- **Pricing**: $15 per fully qualified domain name, $149 per wildcard domain name (charged at issuance and renewal)
- **Private key security**: You're responsible for protecting exported private keys using secure storage and access controls

## Alternatives

If you need certificates outside AWS but prefer not to use ACM's export feature:

1. **Import third-party certificates** - ACM allows you to import certificates issued by other CAs at no additional cost
2. **Use third-party CAs directly** - Obtain certificates from traditional certificate authorities
3. **Self-signed certificates** - Generate your own (though not publicly trusted)

The export feature essentially bridges AWS-integrated services with external workloads while maintaining centralized certificate management.",https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/,2026-03-30T20:24:33.036575+00:00,Incorrect,,,,"The model response incorrectly states that the public certificates can be exported along with their private keys, which is not true. The verified answer specifies that only certificates marked as exportable can be exported, while public certificates by default cannot be exported. Also, the information about pricing is outdated and not relevant to the question."
1,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?",Gemma,gemma-3-27b-it,True,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?","Yes, public certificates issued by AWS Certificate Manager can now be exported for use outside of AWS services. This is a recent feature.

Previously, you could only issue or import certificates for use with ELB, CloudFront, and API Gateway. Now, you can request an *exportable* public certificate through the ACM console, and gain access to the private keys for use on EC2 instances, containers, or on-premises hosts.

However, there are costs associated with these exportable certificates ($15 per FQDN, $149 per wildcard). Also, these certificates are only valid for 395 days and require renewal (with associated costs).",https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/,2026-03-30T20:24:37.390990+00:00,Incorrect,,,,"The model response incorrectly states that costs are associated with exportable certificates, which is not mentioned in the verified reference. Additionally, it does not mention the option of importing third-party certificates or alternative options clearly outlined in the reference answer."
2,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),ChatGPT,gpt-4o-mini,True,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),"The maximum validity period for public certificates issued from AWS Certificate Manager (ACM) is 198 days. This change, effective from February 18, 2026, is in compliance with new guidelines set by the Certification Authority Browser (CA/Browser) Forum.",https://aws.amazon.com/about-aws/whats-new/2026/02/aws-certificate-manager-updates-default/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/,2026-03-30T20:24:41.080345+00:00,Incorrect,,,,"The model response incorrectly states that the change is effective from February 18, 2026, without mentioning the context that certificates issued after March 15, 2026, will adhere to the 198-day limit. The reference clearly states that the change is to comply with requirements effective starting March 15, 2026. This is a meaningful factual error."
2,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),Claude,claude-haiku-4-5,True,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),"Based on the AWS documentation provided, the maximum validity period for public certificates issued from AWS Certificate Manager (ACM) is **198 days**.

This change took effect starting February 18, 2026, to comply with the CA/Browser Forum mandate that certificates be no longer than 200 days, which became effective on March 15, 2026.

**Additional context:**
- Previously, ACM public certificates had a maximum validity of 395 days
- Existing certificates with 395-day validity continue to be valid until they renew or expire
- All new and renewed certificates default to 198 days validity
- ACM automatically renews certificates 45 days before expiry (down from 60 days for the older 395-day certificates)",https://aws.amazon.com/about-aws/whats-new/2026/02/aws-certificate-manager-updates-default/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/,2026-03-30T20:24:43.662092+00:00,Incorrect,,,,"The response incorrectly states that the change to a maximum validity period of 198 days took effect on February 18, 2026, instead of stating that it will be in effect starting March 15, 2026. The response is misleading regarding the timeline of these changes."
2,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),Gemma,gemma-3-27b-it,True,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM),"Currently, the maximum validity period for public certificates issued from AWS Certificate Manager (ACM) is **198 days**. This change went into effect to comply with new CA/Browser Forum mandates starting March 15, 2026.

Previously, the validity period was 395 days, and existing certificates with that validity will continue to be valid until they renew or expire.",https://aws.amazon.com/about-aws/whats-new/2026/02/aws-certificate-manager-updates-default/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/ | https://aws.amazon.com/blogs/aws/aws-certificate-manager-introduces-exportable-public-ssl-tls-certificates-to-use-anywhere/,2026-03-30T20:24:47.005513+00:00,Correct,,,,The model response correctly states the maximum validity period of 198 days and references the change accurately in the context of compliance with CA/Browser Forum mandates. It also correctly mentions the previous validity period of 395 days and the status of existing certificates.
3,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?",ChatGPT,gpt-4o-mini,True,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?","Yes, Amazon EC2 supports nested virtualization on virtualized EC2 instances. The instance families that currently support this feature are C8i, M8i, and R8i instances.",https://aws.amazon.com/about-aws/whats-new/2026/02/amazon-ec2-nested-virtualization-on-virtual/ | https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html | https://docs.aws.amazon.com/eks/latest/userguide/managed-node-groups.html,2026-03-30T20:24:52.012787+00:00,Correct,,,,The model response accurately paraphrases the verified reference and provides all necessary details.
3,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?",Claude,claude-haiku-4-5,True,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?","Yes, Amazon EC2 supports nested virtualization on virtualized EC2 instances.

According to the documentation, this capability was launched on February 16, 2026. Previously, nested virtualization was only available on bare metal EC2 instances, but customers can now create nested virtual machines by running KVM or Hyper-V on virtual EC2 instances.

**Instance families that currently support this feature:**
- C8i
- M8i
- R8i

**Availability:**
This capability is available in all commercial AWS regions.

**Use cases** include running emulators for mobile applications, simulating in-vehicle hardware for automobiles, and running Windows Subsystem for Linux on Windows workstations.",https://aws.amazon.com/about-aws/whats-new/2026/02/amazon-ec2-nested-virtualization-on-virtual/ | https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html | https://docs.aws.amazon.com/eks/latest/userguide/managed-node-groups.html,2026-03-30T20:24:55.525668+00:00,Incorrect,,,,"The launch date mentioned in the model response is incorrect; it states February 16, 2026, which is a future date. Additionally, the mention of availability in all commercial AWS regions is ambiguous and not part of the verified reference."
3,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?",Gemma,gemma-3-27b-it,True,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?","Yes, Amazon EC2 supports nested virtualization on virtualized EC2 instances. 

Currently, this feature is available on **C8i, M8i, and R8i** instance families.",https://aws.amazon.com/about-aws/whats-new/2026/02/amazon-ec2-nested-virtualization-on-virtual/ | https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html | https://docs.aws.amazon.com/eks/latest/userguide/managed-node-groups.html,2026-03-30T20:24:58.928708+00:00,Correct,,,,The model response accurately reflects the capabilities of Amazon EC2 regarding nested virtualization and correctly lists the supported instance families.
4,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?",ChatGPT,gpt-4o-mini,True,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?","AWS Backup supports cross-Region snapshot copies to logically air-gapped vaults by allowing single-action database snapshot copies, eliminating the need for an intermediate copying step in target Regions. This capability, introduced in 2026, simplifies the process by enabling users to directly copy snapshots for Amazon Aurora, Amazon Neptune, and Amazon DocumentDB to logically air-gapped vaults across AWS Regions in one step. Previously, users had to first copy snapshots to a backup vault in the target Region before moving them to the air-gapped vault, which required a two-step process. This change improves recovery point objectives (RPOs) and reduces costs associated with intermediate copies.",https://aws.amazon.com/about-aws/whats-new/2026/02/aws-backup-adds-cross-region-database-snapshot-logically-air-gapped-vaults/ | https://aws.amazon.com/about-aws/whats-new/2026/02/rds-aurora-backup-configuration-restoring-snapshots/ | https://aws.amazon.com/blogs/aws/aws-iam-identity-center-now-supports-multi-region-replication-for-aws-account-access-and-application-use/,2026-03-30T20:25:04.046850+00:00,Correct,,,,The model response accurately describes AWS Backup's support for cross-Region snapshot copies and correctly notes the simplification introduced in 2026. It also explains the two-step process that was required before this change.
