question_id,question
1,"Can public certificates issued by AWS Certificate Manager be exported for use outside AWS services? If not, what alternatives exist?"
2,What is the maximum validity period public certificates issued from AWS Certificate Manager (ACM)
3,"Does Amazon EC2 support nested virtualization on virtualized EC2 instances, and which instance families currently support this feature?"
4,"How does AWS Backup support cross-Region snapshot copies to logically air-gapped vaults, and what change simplified this process in 2026?"
5,"Does Amazon Bedrock support structured outputs for foundation models, and how can developers enforce a specific response format?"
6,"When restoring a database snapshot in Amazon RDS or Aurora, can you now modify the backup retention period and preferred backup window during the restore process?"
7,"Does AWS IAM Identity Center support multi-Region replication, and what must be configured before replication can be enabled in an additional Region?"
8,"Which Java runtimes are supported by AWS Lambda, and which one is the latest?"
9,"What are partitioned CRLs in AWS Private Certificate Authority, and how do they improve scalability for certificate revocation?"
10,How many certificates per CA can AWS Private Certificate Authority support when using partitioned CRLs?
11,"What new capability allows Amazon CloudWatch to unify and manage log data across operational, security, and compliance use cases, and which open standards does it support for log normalization?"
12,What optimization actions can AWS Compute Optimizer automatically perform on Amazon EBS volumes using automation rules?
13,What new feature in AWS Control Tower allows customers to use AWS managed controls without deploying a full landing zone?
14,"How does AWS Organizations Multi-party Approval support proactive approval team health management, and how often does AWS recommend running baseline tests?"
15,"After the release of Redshift introducing new array functions for semi-structured data processing, is array_sort deterministic for complex SUPER elements (objects/structs), and if so, what ordering rules does it apply?"
16,"What are the functionality and differences between multiple resource configs such as AWS::DataBrew::Dataset, ,AWS::DataBrew::Job, AWS::DataBrew::Recipe, AWS::DataBrew::Ruleset?"
17,"In AWS Lightsail OpenClaw, what happens to paired browser sessions when a gateway token is rotated, and where are messaging channel credentials stored on the instance?"
18,What conditions cause an AWS NAT Gateway to be flagged as inactive by Trusted Advisor?
19,How is Amazon Connect Health integrate with Electronic Health Records (EHRs)?
20,"With the Amazon CloudWatch, can I set alerts for lock contention and integrate with EventBridge?"
21,Why does EKS automatic node repair ignore DiskPressure and MemoryPressure node conditions?
22,What types of AWS resources are automatically created when a managed node group is deployed?
23,"Which AWS service is responsible for generating temporary security credentials when an IAM role is assumed, and what are the advantages over long-term credentials?"
24,How can encryption context conditions in a KMS key policy be used to restrict decryption operations to a specific application or role?
25,How do Bedrock Projects prevent prompts and responses from one application being accessed by another?
